ID,DATEADDED
212970,2023-09-17T21:51:29.75Z
212964,2023-09-15T21:29:12.96Z
212958,2023-09-15T20:47:56.547Z
212956,2023-09-15T20:39:50.323Z
212952,2023-09-15T20:27:44.737Z
212951,2023-09-15T20:18:51.747Z
212949,2023-09-15T20:07:28.14Z
212946,2023-09-15T19:42:30Z
212945,2023-09-15T19:30:58.003Z
212944,2023-09-15T19:28:59.45Z
212943,2023-09-15T19:22:41.117Z
212921,2023-09-15T16:33:10.333Z
212918,2023-09-15T16:11:38.257Z
212916,2023-09-15T16:09:49.45Z
212914,2023-09-15T16:04:06.597Z
212913,2023-09-15T16:00:04.26Z
212912,2023-09-15T15:39:26.447Z
212909,2023-09-15T15:20:36.077Z
212904,2023-09-15T14:55:38.977Z
212903,2023-09-15T14:53:01.357Z
212893,2023-09-15T13:29:50.83Z
212891,2023-09-15T13:07:36.417Z
212890,2023-09-15T13:06:13.203Z
212861,2023-09-15T02:39:37.777Z
212860,2023-09-15T02:29:06.767Z
212859,2023-09-15T02:27:26.237Z
212858,2023-09-14T23:38:42.79Z
212857,2023-09-14T23:38:11.507Z
212855,2023-09-14T22:50:39Z
212851,2023-09-14T22:18:55.173Z
212843,2023-09-14T21:25:18.397Z
212842,2023-09-14T21:03:02.39Z
212831,2023-09-14T19:54:33.397Z
212828,2023-09-14T19:36:40.173Z
212827,2023-09-14T19:28:26.647Z
212821,2023-09-14T18:56:20.767Z
212817,2023-09-14T18:20:58.99Z
212813,2023-09-14T17:52:23.567Z
212806,2023-09-14T16:26:59.217Z
212803,2023-09-14T16:03:22.683Z
212795,2023-09-14T15:12:00.89Z
212789,2023-09-14T14:38:33.763Z
212788,2023-09-14T14:36:04.51Z
212787,2023-09-14T14:33:10.3Z
212786,2023-09-14T14:24:52.52Z
212783,2023-09-14T13:52:00.277Z
212781,2023-09-14T13:11:47.84Z
212778,2023-09-13T23:20:09.563Z
212776,2023-09-13T23:16:47.6Z
212774,2023-09-13T23:07:16.667Z
212773,2023-09-13T22:53:06.76Z
212770,2023-09-13T22:38:19.273Z
212769,2023-09-13T22:28:10.52Z
212768,2023-09-13T22:16:01.68Z
212767,2023-09-13T22:11:59.873Z
212766,2023-09-13T22:10:58.027Z
212764,2023-09-13T22:01:20.753Z
212761,2023-09-13T21:54:15.783Z
212748,2023-09-13T20:37:22.287Z
212744,2023-09-13T19:59:56.777Z
212743,2023-09-13T19:55:41.297Z
212737,2023-09-13T19:21:10.8Z
212733,2023-09-13T18:35:11.3Z
212729,2023-09-13T17:58:19.57Z
212726,2023-09-13T17:08:04.73Z
212725,2023-09-13T17:04:57.773Z
212724,2023-09-13T16:54:52.837Z
212723,2023-09-13T16:53:49.527Z
212721,2023-09-13T16:52:08.97Z
212720,2023-09-13T16:52:05.907Z
212719,2023-09-13T16:49:57.567Z
212718,2023-09-13T16:49:11.84Z
212715,2023-09-13T16:44:09.883Z
212713,2023-09-13T16:08:34.747Z
212712,2023-09-13T15:55:45.953Z
212709,2023-09-13T15:30:45.897Z
212706,2023-09-13T15:17:44.613Z
212703,2023-09-13T15:02:26.31Z
212700,2023-09-13T14:32:48.527Z
212698,2023-09-13T14:25:48.973Z
212688,2023-09-13T13:33:55.327Z
212686,2023-09-13T13:09:52.577Z
212683,2023-09-13T05:54:07.647Z
212672,2023-09-13T04:50:01.373Z
212670,2023-09-13T04:30:32.09Z
212667,2023-09-13T04:19:25.4Z
212653,2023-09-13T03:00:37.317Z
212650,2023-09-12T23:42:14.067Z
212649,2023-09-12T23:09:18.707Z
212648,2023-09-12T22:57:09.567Z
212643,2023-09-12T21:48:00.063Z
212642,2023-09-12T21:42:29.41Z
212637,2023-09-12T21:03:10.58Z
212633,2023-09-12T20:52:32.503Z
212632,2023-09-12T20:52:18.1Z
212630,2023-09-12T20:40:43.963Z
212627,2023-09-12T20:28:42.943Z
212622,2023-09-12T20:00:25.973Z
212620,2023-09-12T19:40:02.85Z
212615,2023-09-12T19:27:19.857Z
212612,2023-09-12T19:05:45.54Z
212609,2023-09-12T18:58:11.433Z
212602,2023-09-12T18:52:24.937Z
212601,2023-09-12T18:49:35.787Z
212600,2023-09-12T18:41:33.767Z
212596,2023-09-12T18:19:52.823Z
212594,2023-09-12T17:54:47.407Z
212591,2023-09-12T17:48:25.66Z
212586,2023-09-12T17:14:59.71Z
212585,2023-09-12T17:12:37.653Z
212584,2023-09-12T17:07:06.36Z
212583,2023-09-12T16:57:05.813Z
212582,2023-09-12T16:48:05.56Z
212581,2023-09-12T16:42:08.943Z
212580,2023-09-12T16:03:58.463Z
212576,2023-09-12T15:02:51.867Z
212568,2023-09-12T14:30:18.277Z
212560,2023-09-12T13:03:19.277Z
212552,2023-09-11T22:29:47.487Z
212549,2023-09-11T21:59:46.957Z
212542,2023-09-11T20:54:56.54Z
212541,2023-09-11T20:29:26.883Z
212539,2023-09-11T20:07:01.46Z
212536,2023-09-11T19:59:53.59Z
212535,2023-09-11T19:47:10.687Z
212534,2023-09-11T19:46:58.317Z
212533,2023-09-11T19:42:02.757Z
212529,2023-09-11T19:21:58.2Z
212527,2023-09-11T19:11:24.307Z
212524,2023-09-11T18:46:52.6Z
212520,2023-09-11T17:59:48.523Z
212519,2023-09-11T17:51:49.17Z
212517,2023-09-11T16:47:02.66Z
212516,2023-09-11T16:41:53.677Z
212515,2023-09-11T16:30:45.977Z
212514,2023-09-11T16:12:11.76Z
212510,2023-09-11T15:52:43.947Z
212509,2023-09-11T15:49:42.97Z
212507,2023-09-11T15:35:03.49Z
212505,2023-09-11T15:24:01.76Z
212494,2023-09-11T13:35:54.077Z
